xread
'Matrix from: Mattoni, C.I., Ochoa, J. A., Ojanguren-Affilastro, A. & L. Prendini. 2012. Orobothriurus (Scorpiones: Bothriuridae) phylogeny, Andean biogeography, and the relative importance of genitalic and somatic characters. Zoologica scripta, 41(2): 160-176.'
65 30
Cercophonius_sulcatus      	0011000010100000020110000011100110000000001110110-1010---0100--00
Centromachetes_pocockii    	0011000011010010030010020000010110000000000010000-1000---0100--00
Urophonius_tregualemuensis 	2101100010100000020110001111110110011100000110110-1010---0100--00
Bothriurus_bonariensis     	00110001010111000000001210110000011111102000000010020102-0000--00
Bothriurus_coriaceus            0000000111011100000000101011000111111100200000000-0110---1100--00
Bothriurus_asper                10110001010111000000001200110000011111102000000100000100-0000--00
Bothriurus_cordubensis          1011000111011100000000101011000111111110200000000-0110---1100--00
Pachakutej_crassimanus          00110001110100000000000000000010011111101000101110020100-1010--11
Pachakutej_iskay                00110001110100000000000000000010011111101000101110020100-1010--11
Pachakutej_oscari               00110001110100000000000000000010011111101000101110010100-1010--11
Pachakutej_inca                 00110001100100000000000000000010011111200100101110020100-1010--11
Pachakutej_juchuicha            00111001110100000000000000000010011111200100101110020100-1010--11
Pachakutej_peruvianus           00110001110100000000000000000010111111001000101110020100-1010--11
Rumikiru_lourencoi         	0-110101110100010410012011010010011111010011100010220100-1010--01
Rumikiru_atacama           	0-110101110100010410012011010010011111010011100010220100-1010--01
Orobothriurus_parvus       	11011000101000000100001111111011100011010011101200120111000010000
Orobothriurus_wawita            11012000101000001-0000-1111110101011112-0111101200120111000011000
Orobothriurus_famatina          11001000101000000100001111111011100011010011101100120111000012000
Orobothriurus_ampay             00110000101000001-00001111110011100000010011111100120111000011000
Orobothriurus_curvidigitus      11101010101000110100001221111010011111010011101101120111100011100
Orobothriurus_paessleri         11101010101100010100001221111010011111010010111100120111100011100
Orobothriurus_atiquipa          11101000101?00000100001121111010??1??10-0011111201120111100011100
Orobothriurus_alticola          111010001010000001000011211110111001110100111[01]1101120111100011100
Orobothriurus_huascaran         11111000101000000100001221101011100011010011101201120111100011100
Orobothriurus_calchaqui         11101000101000000100001121111011100011010011101100120111000012000
Orobothriurus_compagnuccii      111010001010000001000011[12]1111011101111010011101100120111100011100
Orobothriurus_quewerukana       11101010101100110100001121111010011111010011101100120111100011100
Orobothriurus_ramirezi          11101000101000000100001121111011100111010-11101101120111100011100
Orobothriurus_tamarugal         11002010101100110100001111111010111111010-10101100120111100011100
Orobothriurus_grismadoi         10101000101000000100001121111011101111010-11111101120111100011100
;
cc - .;
cc + 40 47 51;
proc /;

